sgRNA	Gene	Reads
HGLibA_42886	SCD5	376
HGLibA_28748	MED13	894
HGLibA_42762	SASH1	671
HGLibA_61177	hsa-mir-4770	278
HGLibA_32905	NUBP2	450
HGLibA_49167	TFEC	1137
HGLibA_62253	hsa-mir-5683	753
HGLibA_26215	LDB2	313
HGLibA_32554	NPY2R	228
HGLibA_45651	SMC3	72
HGLibA_60095	hsa-mir-4427	79
HGLibA_26609	LIPF	546
HGLibA_11111	CREBL2	377
HGLibA_50502	TMEM70	351
HGLibA_30158	MS4A6A	508
HGLibA_33874	OR2T33	726
HGLibA_18006	FRK	522
HGLibA_29649	MORC1	232
HGLibA_49749	TMC1	578
HGLibA_11246	CRYAA	254
HGLibA_41987	RPL5	351
HGLibA_60642	hsa-mir-4634	336
HGLibA_39134	PSMC3	154
HGLibA_62644	hsa-mir-6124	253
HGLibA_60702	hsa-mir-4650-1	719
HGLibA_46178	SORBS2	361
HGLibA_19904	GPR137C	290
HGLibA_15305	EPHA7	1022
HGLibA_44587	SLC22A4	545
HGLibA_38860	PRRC2A	548
HGLibA_46489	SPATA31C1	1141
HGLibA_32549	NPY1R	270
HGLibA_52176	TTI2	76
HGLibA_60411	hsa-mir-4499	388
HGLibA_54487	XAGE5	598
HGLibA_45189	SLC46A3	287
HGLibA_24599	KIAA0195	55
HGLibA_55288	ZFYVE27	433
HGLibA_31984	NIT1	1261
HGLibA_50192	TMEM205	523
HGLibA_16348	FAM188B	466
HGLibA_34717	OSTN	448
HGLibA_17835	FOXD3	534
HGLibA_39997	RABAC1	571
HGLibA_02503	APOC1	1002
HGLibA_35596	PCGF2	550
HGLibA_27975	MAGED4	764
HGLibA_20899	HAVCR1	584
HGLibA_49085	TEX264	214
HGLibA_40275	RARB	648
HGLibA_14969	ELOVL5	793
HGLibA_25097	KLHDC2	266
HGLibA_62209	hsa-mir-561	458
HGLibA_40943	RFPL4B	64
HGLibA_60019	hsa-mir-4324	618
HGLibA_41707	RNFT2	359
HGLibA_05638	C19orf24	249
HGLibA_43599	SERPINI1	387
HGLibA_00797	ADAMTS12	500
HGLibA_02040	ANKRD22	415
HGLibA_30867	MYO9A	517
HGLibA_01683	ALOX15	626
HGLibA_16847	FANCF	541
HGLibA_49105	TEX37	187
HGLibA_01244	AGR2	203
HGLibA_26254	LDLRAP1	437
HGLibA_32432	NPEPPS	553
HGLibA_42176	RPS6KB1	117
HGLibA_36148	PFDN5	798
HGLibA_17545	FIZ1	633
HGLibA_43285	SELE	1038
HGLibA_14167	DUSP23	279
HGLibA_20425	GSG2	806
HGLibA_58374	hsa-mir-26b	257
HGLibA_25822	KRTAP6-3	677
HGLibA_40080	RAD51AP1	856
HGLibA_34969	PADI1	636
HGLibA_48251	TAF7	355
HGLibA_42923	SCGB2A1	123
HGLibA_36087	PEX11B	725
HGLibA_45403	SLC9A2	320
HGLibA_41660	RNF31	662
HGLibA_08725	CDK11A	242
HGLibA_56669	ZNF747	338
HGLibA_06997	CALCOCO1	762
HGLibA_40351	RASGRP3	714
HGLibA_21601	HLA-C	455
HGLibA_14928	ELL3	846
HGLibA_37752	POU2AF1	16
HGLibA_39119	PSMB7	307
HGLibA_16100	FAM129B	278
HGLibA_14937	ELMO3	379
HGLibA_23742	ITGA7	401
HGLibA_49264	TGM5	231
HGLibA_45746	SMIM20	424
HGLibA_26599	LIPA	526
HGLibA_07760	CCDC34	894
HGLibA_14736	EIF2B1	108
HGLibA_52729	UBP1	275
HGLibA_47236	ST3GAL1	520
HGLibA_47525	STMN4	647
HGLibA_20008	GPR26	615
HGLibA_61792	hsa-mir-526a-1	392
HGLibA_10349	CNOT7	562
HGLibA_46346	SPAG11A	2699
HGLibA_59933	hsa-mir-4305	1052
HGLibA_60282	hsa-mir-4469	147
HGLibA_58370	hsa-mir-26a-2	411
HGLibA_29092	MFSD2A	117
HGLibA_06865	CABYR	208
HGLibA_40482	RBM12B	553
HGLibA_45377	SLC7A6OS	71
HGLibA_03395	ASXL3	1091
HGLibA_15124	ENG	1075
HGLibA_15465	ERG	929
HGLibA_45207	SLC4A11	976
HGLibA_06679	C9orf135	425
HGLibA_57440	hsa-mir-1258	1694
HGLibA_06656	C8orf87	212
HGLibA_39853	RAB26	449
HGLibA_08606	CDCA3	599
HGLibA_10206	CMSS1	304
HGLibA_01602	ALG1	779
HGLibA_30099	MRPS35	127
HGLibA_24810	KIAA1731	240
HGLibA_28599	MCL1	792
HGLibA_09552	CHRM3	467
HGLibA_47477	STK3	1167
HGLibA_04011	B4GALNT1	258
HGLibA_51723	TROVE2	284
HGLibA_26517	LILRB4	1065
HGLibA_10235	CMTR2	933
HGLibA_24457	KCTD5	502
HGLibA_63210	hsa-mir-6762	930
HGLibA_23575	IRF2	756
HGLibA_64740	NonTargetingControlGuideForHuman_0357	366
HGLibA_61229	hsa-mir-4780	748
HGLibA_33477	OR10A7	571
HGLibA_13503	DNAI1	487
HGLibA_09803	CLC	352
HGLibA_11385	CSNK1A1L	689
HGLibA_34261	OR5B2	862
HGLibA_59936	hsa-mir-4306	72
HGLibA_03354	ASPHD1	70
HGLibA_60540	hsa-mir-4521	361
HGLibA_39724	QKI	1088
HGLibA_22938	IKZF4	789
HGLibA_22259	HSPA12A	191
HGLibA_06316	C4orf3	173
HGLibA_34517	OR8G1	658
HGLibA_11900	CXCR7	165
HGLibA_35776	PDE1C	1288
HGLibA_12035	CYFIP2	563
HGLibA_33642	OR1A1	898
HGLibA_35114	PANX3	867
HGLibA_23119	IL2RA	294
HGLibA_26350	LGALS13	1410
HGLibA_35683	PCSK6	1294
HGLibA_04822	BRIP1	254
HGLibA_50176	TMEM200C	807
HGLibA_18826	GCSAM	519
HGLibA_26237	LDLR	100
HGLibA_19272	GLIS1	627
HGLibA_33454	OPTC	1353
HGLibA_10001	CLEC5A	443
HGLibA_40084	RAD51AP2	437
HGLibA_34845	P2RX1	413
HGLibA_61017	hsa-mir-4730	476
HGLibA_04816	BRINP2	377
HGLibA_32478	NPIPL3	318
HGLibA_49415	THUMPD1	285
HGLibA_14384	ECE2	45
HGLibA_16042	FAM117A	360
HGLibA_17376	FGF14	328
HGLibA_42032	RPP25L	963
HGLibA_07301	CASP12	605
HGLibA_05157	C11orf54	158
HGLibA_57835	hsa-mir-143	765
HGLibA_54457	WWTR1	994
HGLibA_64019	hsa-mir-7973-1	1962
HGLibA_07877	CCDC80	226
HGLibA_62758	hsa-mir-630	1143
HGLibA_49120	TFAP2A	434
HGLibA_63619	hsa-mir-6860	1474
HGLibA_16491	FAM217B	238
HGLibA_56025	ZNF45	280
HGLibA_28667	MDC1	576
HGLibA_58516	hsa-mir-3118-3	1041
HGLibA_55578	ZNF207	637
HGLibA_07114	CAMTA1	354
HGLibA_36910	PLA2G4D	319
HGLibA_04172	BATF	1117
HGLibA_30877	MYOCD	352
HGLibA_01262	AGTR1	573
HGLibA_17421	FGF8	550
HGLibA_14206	DUXA	348
HGLibA_23502	IQCF1	391
HGLibA_25503	KRT4	280
HGLibA_05647	C19orf33	568
HGLibA_10994	CPSF1	89
HGLibA_12541	DCTD	654
HGLibA_55354	ZKSCAN4	302
HGLibA_10580	COL4A5	1175
HGLibA_45011	SLC35F5	313
HGLibA_59731	hsa-mir-4256	1109
HGLibA_39583	PUM2	340
HGLibA_09431	CHGA	1061
HGLibA_31567	NDUFS8	531
HGLibA_14007	DSCR3	542
HGLibA_08380	CD4	158
HGLibA_50717	TNFAIP8	392
HGLibA_56341	ZNF593	533
HGLibA_33902	OR2W1	1234
HGLibA_28264	MAPK15	806
HGLibA_39753	QSOX1	679
HGLibA_13752	DOCK6	343
HGLibA_61393	hsa-mir-498	909
HGLibA_09553	CHRM3	351
HGLibA_41383	RMND5A	620
HGLibA_08819	CDKL5	1632
HGLibA_26677	LMBRD2	413
HGLibA_58503	hsa-mir-3116-1	971
HGLibA_00561	ACSL4	667
HGLibA_37349	PNKD	498
HGLibA_43982	SH3TC2	398
HGLibA_16691	FAM71C	1085
HGLibA_29955	MRPL33	789
HGLibA_36135	PFAS	374
HGLibA_62558	hsa-mir-6076	10
HGLibA_37126	PLEKHH1	937
HGLibA_12577	DCUN1D5	716
HGLibA_44118	SIDT2	290
HGLibA_52242	TUBA1A	327
HGLibA_33772	OR2B6	675
HGLibA_47766	SULT6B1	668
HGLibA_06378	C5orf34	99
HGLibA_04552	BLMH	287
HGLibA_56954	ZP2	83
HGLibA_18902	GDPD5	461
HGLibA_32969	NUDT21	813
HGLibA_65374	NonTargetingControlGuideForHuman_0991	614
HGLibA_49763	TMC6	1079
HGLibA_28971	METTL18	235
HGLibA_13819	DPEP1	373
HGLibA_22112	HRSP12	736
HGLibA_44490	SLC18A2	527
HGLibA_33692	OR1L4	510
HGLibA_61238	hsa-mir-4783	72
HGLibA_04658	BNIP3L	887
HGLibA_64467	NonTargetingControlGuideForHuman_0084	304
HGLibA_19723	GPALPP1	399
HGLibA_20250	GRHL2	239
HGLibA_52860	UGCG	1188
HGLibA_43989	SHANK1	244
HGLibA_10268	CNGA3	351
HGLibA_10300	CNKSR2	579
HGLibA_58960	hsa-mir-323b	852
HGLibA_44901	SLC30A10	766
HGLibA_64217	hsa-mir-877	107
HGLibA_35228	PARP16	579
HGLibA_61464	hsa-mir-502	674
HGLibA_17311	FEZ1	1403
HGLibA_36049	PENK	820
HGLibA_54736	YTHDF3	204
HGLibA_60176	hsa-mir-4443	491
HGLibA_42920	SCGB1D4	881
HGLibA_54096	WDR45	473
HGLibA_53870	VSTM4	1285
HGLibA_06979	CADPS2	529
HGLibA_27415	LRRC70	383
HGLibA_55719	ZNF28	347
HGLibA_59511	hsa-mir-3911	581
HGLibA_53923	VWC2	458
HGLibA_07078	CAMK2N1	1738
HGLibA_28491	MBD5	1507
HGLibA_13857	DPM1	2037
HGLibA_51612	TRIM77	508
HGLibA_49636	TLN2	226
HGLibA_47574	STRADA	1005
HGLibA_60451	hsa-mir-4506	431
HGLibA_38934	PRSS37	651
HGLibA_16159	FAM150B	1171
HGLibA_04373	BDH1	935
HGLibA_58608	hsa-mir-3137	474
HGLibA_28904	MEPE	268
HGLibA_48134	TAAR8	397
HGLibA_02865	ARHGEF4	346
HGLibA_11091	CREB3	318
HGLibA_22180	HSD17B13	777
HGLibA_60132	hsa-mir-4435-1	213
HGLibA_22792	IGF1	362
HGLibA_06244	C3orf43	817
HGLibA_39267	PTCH1	494
HGLibA_36006	PEAK1	563
HGLibA_11287	CRYL1	990
HGLibA_20561	GTF2H5	711
HGLibA_51824	TSC22D3	274
HGLibA_40032	RABL3	1019
HGLibA_01203	AGMO	493
HGLibA_13277	DIS3L2	322
HGLibA_63926	hsa-mir-766	1434
HGLibA_36131	PF4V1	508
HGLibA_26529	LIMCH1	1260
HGLibA_03132	ARSB	512
HGLibA_46945	SRD5A3	309
HGLibA_52703	UBL3	1196
HGLibA_28899	MEP1B	742
HGLibA_04063	BACE2	758
HGLibA_31881	NGLY1	390
HGLibA_35075	PALM3	777
HGLibA_40596	RBMX	493
HGLibA_17173	FCER2	450
HGLibA_00551	ACSF3	863
HGLibA_17769	FNIP2	555
HGLibA_26500	LILRA5	1073
HGLibA_59515	hsa-mir-3912	731
HGLibA_43977	SH3RF3	455
HGLibA_48838	TCP10L2	283
HGLibA_10264	CNGA1	102
HGLibA_24364	KCNN4	208
HGLibA_19679	GORASP1	524
HGLibA_07954	CCKAR	988
HGLibA_08413	CD58	466
HGLibA_37171	PLIN1	74
HGLibA_08103	CCNI	315
HGLibA_12071	CYP1A2	514
HGLibA_19323	GLRX5	1215
HGLibA_45037	SLC36A3	794
HGLibA_09739	CIT	198
HGLibA_46255	SOX21	224
HGLibA_43655	SETD6	355
HGLibA_09348	CHAF1A	255
HGLibA_09966	CLEC2D	166
HGLibA_45279	SLC5A7	369
HGLibA_37677	PON1	569
HGLibA_30689	MYEF2	303
HGLibA_10336	CNOT2	767
HGLibA_31686	NELL2	141
HGLibA_65231	NonTargetingControlGuideForHuman_0848	312
HGLibA_21078	HEATR5B	1541
HGLibA_23690	ISX	647
HGLibA_38534	PRKCA	1346
HGLibA_45263	SLC5A12	501
HGLibA_41467	RNF111	1103
HGLibA_16004	FAM107B	545
HGLibA_06503	C6orf62	336
HGLibA_15107	ENAM	791
HGLibA_01053	ADRA2C	82
HGLibA_32168	NME6	556
HGLibA_59798	hsa-mir-4274	327
HGLibA_48348	TARS2	806
HGLibA_45039	SLC36A4	1357
HGLibA_21041	HDGFL1	260
HGLibA_32269	NOL4	356
HGLibA_45021	SLC35G3	257
HGLibA_53084	UPK3BL	429
HGLibA_24641	KIAA0513	503
HGLibA_17541	FITM1	283
HGLibA_45306	SLC6A16	154
HGLibA_59372	hsa-mir-371a	1126
HGLibA_13545	DNAJB5	362
HGLibA_54446	WWC3	951
HGLibA_60281	hsa-mir-4469	980
HGLibA_26238	LDLR	474
HGLibA_07148	CAPN11	605
HGLibA_04627	BMPER	474
HGLibA_49867	TMEM109	733
HGLibA_42272	RRP15	109
HGLibA_11220	CRTAC1	278
HGLibA_47095	SRXN1	163
HGLibA_49164	TFEB	1295
HGLibA_34776	OTUD7A	936
HGLibA_50667	TMSB4Y	320
HGLibA_15580	ESR1	1389
HGLibA_30024	MRPL55	262
HGLibA_63827	hsa-mir-7150	1168
HGLibA_08454	CD80	91
HGLibA_03058	ARMS2	391
HGLibA_65214	NonTargetingControlGuideForHuman_0831	106
HGLibA_53527	VARS2	132
HGLibA_25398	KRCC1	463
HGLibA_04829	BRMS1	242
HGLibA_45707	SMG7	199
HGLibA_48320	TAPBP	278
HGLibA_14551	EFCAB7	853
HGLibA_40403	RAVER2	561
HGLibA_52536	UBAC2	902
HGLibA_06541	C7orf41	371
HGLibA_43607	SERTAD2	882
HGLibA_49373	THOC5	165
HGLibA_28512	MBNL2	449
HGLibA_42030	RPP25	518
HGLibA_49728	TM9SF3	623
HGLibA_61230	hsa-mir-4781	1406
HGLibA_04071	BAD	313
HGLibA_27115	LPPR2	965
HGLibA_25436	KRT17	170
HGLibA_46684	SPINK13	489
HGLibA_45999	SNTB1	179
HGLibA_19030	GH2	466
HGLibA_35991	PDZK1	953
HGLibA_26318	LEPREL1	405
HGLibA_31478	NDUFAB1	568
HGLibA_00964	ADH7	1092
HGLibA_00748	ADAM2	476
HGLibA_11338	CSF3	13
HGLibA_65201	NonTargetingControlGuideForHuman_0818	725
HGLibA_43763	SFTA3	798
HGLibA_55541	ZNF181	807
HGLibA_43825	SGK2	755
HGLibA_41613	RNF207	174
HGLibA_16416	FAM203A	1470
HGLibA_50125	TMEM186	788
HGLibA_19773	GPC5	334
HGLibA_46155	SOGA2	688
HGLibA_27640	LUZP2	647
HGLibA_07586	CCDC129	336
HGLibA_51640	TRIP12	165
HGLibA_21354	HIRIP3	962
HGLibA_27807	LZTS1	328
HGLibA_14799	EIF3L	890
HGLibA_50746	TNFRSF11A	364
HGLibA_28864	MEIG1	784
HGLibA_09536	CHRD	327
HGLibA_32999	NUFIP1	796
HGLibA_18460	GAGE12J	1632
HGLibA_34954	PACS1	686
HGLibA_63190	hsa-mir-6758	675
HGLibA_62335	hsa-mir-5700	432
HGLibA_13956	DRC1	146
HGLibA_07642	CCDC150	367
HGLibA_19441	GNA13	485
HGLibA_16114	FAM132A	593
HGLibA_35916	PDLIM4	791
HGLibA_22638	IFITM1	1055
HGLibA_46932	SRCAP	799
HGLibA_25877	KY	510
HGLibA_27947	MAGEB3	366
HGLibA_45478	SLCO6A1	325
HGLibA_54541	XKRY	2373
HGLibA_19703	GP1BB	176
HGLibA_47833	SURF1	787
HGLibA_43332	SEMA3E	323
HGLibA_20381	GRSF1	352
HGLibA_50479	TMEM63C	268
HGLibA_42577	S100B	310
HGLibA_48302	TANK	609
HGLibA_57324	hsa-mir-1233-1	823
HGLibA_50705	TNFAIP1	177
HGLibA_55390	ZMYM1	408
HGLibA_01998	ANKRD12	483
HGLibA_19142	GJA3	686
HGLibA_10675	COMMD7	1066
HGLibA_24615	KIAA0247	503
HGLibA_01752	AMBP	204
HGLibA_46459	SPATA25	309
HGLibA_50570	TMEM98	692
HGLibA_30530	MUC16	1103
HGLibA_63768	hsa-mir-7-1	378
HGLibA_52101	TTC3	938
HGLibA_39598	PUS10	584
HGLibA_29892	MRPL10	512
HGLibA_37083	PLEKHA8	879
HGLibA_52213	TTLL7	1268
HGLibA_18756	GC	349
HGLibA_63005	hsa-mir-668	1090
HGLibA_38205	PPP4R2	531
HGLibA_64903	NonTargetingControlGuideForHuman_0520	879
HGLibA_15250	EPB41L4A	80
HGLibA_60049	hsa-mir-4330	176
HGLibA_40078	RAD51	1055
HGLibA_40412	RB1	205
HGLibA_51526	TRIM49B	555
HGLibA_21494	HIST1H4D	525
HGLibA_24244	KCNIP4	442
HGLibA_07819	CCDC62	991
HGLibA_15619	ETFA	734
HGLibA_14975	ELOVL7	150
HGLibA_22370	HTR2A	220
HGLibA_35001	PAG1	616
HGLibA_44945	SLC34A3	483
HGLibA_03799	ATPAF1	858
HGLibA_14454	EDEM1	509
HGLibA_27718	LYPD3	117
HGLibA_59064	hsa-mir-3609	501
HGLibA_29868	MROH1	321
HGLibA_38645	PRNP	319
HGLibA_56418	ZNF625	764
HGLibA_51550	TRIM56	1074
HGLibA_18728	GBP1	44
HGLibA_40882	RETSAT	670
HGLibA_15212	ENTPD6	743
HGLibA_09441	CHIA	192
HGLibA_43005	SCN8A	377
HGLibA_41623	RNF213	795
HGLibA_24302	KCNK13	1512
HGLibA_40972	RFX4	1058
HGLibA_34905	P4HA3	1164
HGLibA_01194	AGK	714
HGLibA_17516	FIGLA	258
HGLibA_18709	GBA	245
HGLibA_42802	SBK2	188
HGLibA_53925	VWC2L	773
HGLibA_17320	FEZF2	685
HGLibA_26048	LARS2	477
HGLibA_08851	CDNF	506
HGLibA_41151	RHD	902
HGLibA_03885	AUTS2	256
HGLibA_05286	C12orf68	396
HGLibA_58445	hsa-mir-302c	653
HGLibA_01047	ADRA2A	817
HGLibA_03278	ASCL5	660
HGLibA_57213	hsa-mir-1180	623
HGLibA_41136	RHBDF2	344
HGLibA_16487	FAM216B	713
HGLibA_19651	GOLIM4	1183
HGLibA_38464	PRH2	806
HGLibA_02233	ANXA2R	1009
HGLibA_31497	NDUFAF6	1574
HGLibA_20889	HAUS6	467
HGLibA_64731	NonTargetingControlGuideForHuman_0348	708
HGLibA_49489	TIMELESS	394
HGLibA_54949	ZC3H11A	1124
HGLibA_45186	SLC46A2	539
HGLibA_00284	ABHD6	142
HGLibA_07492	CCBE1	350
HGLibA_23693	ISY1	109
HGLibA_65172	NonTargetingControlGuideForHuman_0789	358
HGLibA_12451	DCAF6	1103
HGLibA_28017	MAK	317
HGLibA_07840	CCDC68	468
HGLibA_30296	MT1M	603
HGLibA_44414	SLC15A4	545
HGLibA_60825	hsa-mir-4677	775
HGLibA_24659	KIAA0895	1684
HGLibA_51079	TP53TG3	654
HGLibA_43201	SEC14L5	549
HGLibA_13301	DKK3	1359
HGLibA_20456	GSTA3	1071
HGLibA_14265	DYNLT1	709
HGLibA_10013	CLECL1	80
HGLibA_53017	UNC5B	468
HGLibA_26545	LIMS1	816
HGLibA_07959	CCKBR	598
HGLibA_35996	PDZRN3	363
HGLibA_54405	WRB	751
HGLibA_53807	VPS52	567
HGLibA_58775	hsa-mir-3175	599
HGLibA_23804	ITIH1	1340
HGLibA_04307	BCL2L11	373
HGLibA_38776	PRR13	336
HGLibA_34233	OR5A2	309
HGLibA_09103	CEP128	305
HGLibA_47442	STIM1	445
HGLibA_27116	LPPR2	415
HGLibA_00122	ABCA7	289
HGLibA_14562	EFEMP1	465
HGLibA_53406	USP6NL	395
HGLibA_00452	ACLY	627
HGLibA_17525	FIGNL2	146
HGLibA_44290	SKOR1	398
HGLibA_17562	FKBP15	883
HGLibA_31613	NEDD9	460
HGLibA_12656	DDX17	430
HGLibA_02836	ARHGEF25	1030
HGLibA_29083	MFSD10	423
HGLibA_19845	GPR108	229
HGLibA_14740	EIF2B3	1035
HGLibA_56980	ZRSR2	313
HGLibA_46582	SPDYE2	1117
HGLibA_64660	NonTargetingControlGuideForHuman_0277	1102
HGLibA_14450	EDDM3B	607
HGLibA_20974	HCN1	249
HGLibA_46295	SP140L	734
HGLibA_35328	PBDC1	444
HGLibA_41049	RGS1	702
HGLibA_61221	hsa-mir-4778	912
HGLibA_43623	SESN2	1155
HGLibA_02497	APOBEC4	528
HGLibA_10182	CMBL	322
HGLibA_18003	FRG2C	307
HGLibA_14390	ECH1	955
HGLibA_16346	FAM188A	551
HGLibA_20211	GRAP	170
HGLibA_24454	KCTD4	749
HGLibA_54270	WFDC6	321
HGLibA_04191	BAZ2A	902
HGLibA_37494	POLD2	637
HGLibA_48774	TCF21	197
HGLibA_03433	ATF2	938
HGLibA_45300	SLC6A14	395
HGLibA_55810	ZNF329	641
HGLibA_20162	GPSM3	650
HGLibA_62195	hsa-mir-5589	547
HGLibA_55063	ZDBF2	451
HGLibA_04165	BARX1	409
HGLibA_50255	TMEM230	725
HGLibA_62086	hsa-mir-548y	482
HGLibA_24144	KCNA7	304
HGLibA_25850	KRTAP9-9	690
HGLibA_07491	CCAR2	419
HGLibA_15472	ERGIC3	292
HGLibA_15418	ERBB3	253
HGLibA_39709	PYURF	408
HGLibA_29757	MPP4	901
HGLibA_26115	LCE1F	254
HGLibA_15517	ERO1L	575
HGLibA_58294	hsa-mir-221	1719
HGLibA_42777	SATB1	1218
HGLibA_61235	hsa-mir-4782	372
HGLibA_36610	PIH1D1	399
HGLibA_36492	PI4K2A	488
HGLibA_03818	ATRN	1872
HGLibA_54655	YEATS2	183
HGLibA_24949	KIF5A	1069
HGLibA_18262	FZD10	421
HGLibA_40565	RBM47	710
HGLibA_26731	LMX1A	337
HGLibA_01122	AFM	995
HGLibA_26158	LCLAT1	566
HGLibA_49018	TERT	1397
HGLibA_53091	UPRT	1326
HGLibA_37782	POU4F3	204
HGLibA_23283	ING1	343
HGLibA_26015	LAPTM4A	210
HGLibA_27525	LSM11	1026
HGLibA_39295	PTEN	360
HGLibA_34123	OR51M1	554
HGLibA_19619	GOLGA6L1	575
HGLibA_20652	GUCY1A2	282
HGLibA_33345	OLFM1	656
HGLibA_57618	hsa-mir-1288	311
HGLibA_10703	COPG1	261
HGLibA_64633	NonTargetingControlGuideForHuman_0250	490
HGLibA_07871	CCDC78	1012
HGLibA_03913	AWAT1	307
HGLibA_11240	CRY1	1478
HGLibA_63001	hsa-mir-665	824
HGLibA_15607	ESYT2	610
HGLibA_30384	MTHFD2L	379
HGLibA_27119	LPPR3	613
HGLibA_52956	UIMC1	502
HGLibA_21843	HNRNPR	678
HGLibA_29846	MRGPRX1	604
HGLibA_09875	CLDN19	412
HGLibA_31952	NIPA2	859
HGLibA_54025	WDR11	258
HGLibA_15824	EYA3	1454
HGLibA_59016	hsa-mir-33b	720
HGLibA_55047	ZCCHC8	818
HGLibA_42805	SBNO1	263
HGLibA_23773	ITGB1BP1	824
HGLibA_42824	SCAF11	696
HGLibA_64268	hsa-mir-9-2	157
HGLibA_63517	hsa-mir-6835	466
HGLibA_19213	GLA	425
HGLibA_13672	DND1	1196
HGLibA_60995	hsa-mir-4724	390
HGLibA_21643	HLA-E	1356
HGLibA_47187	SSTR5	1450
HGLibA_45658	SMC6	438
HGLibA_16676	FAM69A	808
HGLibA_35621	PCM1	641
HGLibA_57067	ZWILCH	503
HGLibA_02235	ANXA2R	573
HGLibA_18369	GABRA5	420
HGLibA_04341	BCL7B	555
HGLibA_08375	CD3EAP	601
HGLibA_19292	GLP1R	776
HGLibA_62128	hsa-mir-552	674
HGLibA_18604	GANAB	1336
HGLibA_35863	PDHA1	728
HGLibA_13962	DRD2	247
HGLibA_33012	NUMB	451
HGLibA_56376	ZNF609	103
HGLibA_34643	OSBPL10	577
HGLibA_26315	LEPRE1	442
HGLibA_44554	SLC22A16	248
HGLibA_30767	MYL5	329
HGLibA_24150	KCNAB2	93
HGLibA_17722	FMR1NB	726
HGLibA_45101	SLC39A13	421
HGLibA_51703	TRMU	702
HGLibA_61814	hsa-mir-541	787
HGLibA_22124	HS3ST2	646
HGLibA_63922	hsa-mir-765	702
HGLibA_51484	TRIM39	969
HGLibA_07181	CAPN9	1238
HGLibA_49141	TFB2M	683
HGLibA_26887	LOC147646	1045
HGLibA_02670	ARFGEF1	1307
HGLibA_08814	CDKL4	1202
HGLibA_39819	RAB17	360
HGLibA_08502	CDADC1	491
HGLibA_20734	H1F0	343
HGLibA_31523	NDUFB6	480
HGLibA_42793	SBF1	813
HGLibA_58361	hsa-mir-2682	204
HGLibA_57253	hsa-mir-1197	351
HGLibA_06446	C6orf136	1431
HGLibA_49736	TMA7	86
HGLibA_07264	CARTPT	1331
HGLibA_37521	POLG	321
HGLibA_60423	hsa-mir-449c	768
HGLibA_06606	C8orf31	1128
HGLibA_42303	RSBN1	475
HGLibA_58676	hsa-mir-3154	920
HGLibA_13179	DHX32	507
HGLibA_02383	APBB2	191
HGLibA_36607	PIGZ	486
HGLibA_11381	CSNK1A1	245
HGLibA_54734	YTHDF2	59
HGLibA_58640	hsa-mir-3146	1165
HGLibA_41518	RNF139	412
HGLibA_14666	EHD1	69
HGLibA_04620	BMP8A	394
HGLibA_44127	SIGLEC10	648
HGLibA_60873	hsa-mir-4691	206
HGLibA_56887	ZNF878	864
HGLibA_52556	UBAP2L	917
HGLibA_41558	RNF166	473
HGLibA_03522	ATL3	598
HGLibA_56817	ZNF821	168
HGLibA_36180	PFN3	435
HGLibA_60915	hsa-mir-4703	145
HGLibA_13681	DNLZ	420
HGLibA_53967	WBP1	307
HGLibA_50908	TNR	30
HGLibA_53623	VEPH1	123
HGLibA_42222	RRAD	610
HGLibA_52792	UBXN6	537
HGLibA_16663	FAM63B	1066
HGLibA_19888	GPR132	1275
HGLibA_44516	SLC1A4	442
HGLibA_51683	TRMT2A	344
HGLibA_04955	BTLA	647
HGLibA_39914	RAB3C	849
HGLibA_58345	hsa-mir-24-2	705
HGLibA_08891	CDT1	860
HGLibA_03078	ARPC1B	235
HGLibA_22456	HYKK	473
HGLibA_42784	SAV1	905
HGLibA_61654	hsa-mir-518a-2	307
HGLibA_33206	OASL	599
HGLibA_26647	LLGL1	423
HGLibA_09667	CHTOP	180
HGLibA_10607	COL6A6	479
HGLibA_28385	MARVELD3	270
HGLibA_43133	SDHA	420
HGLibA_05469	C16orf62	444
HGLibA_24284	KCNJ6	578
HGLibA_49863	TMEM107	598
HGLibA_65329	NonTargetingControlGuideForHuman_0946	928
HGLibA_03498	ATG4D	648
HGLibA_32400	NPAS3	700
HGLibA_48508	TBC1D23	849
HGLibA_63990	hsa-mir-7850	324
HGLibA_35198	PARK7	593
HGLibA_40780	REEP2	824
HGLibA_21225	HFE	1141
HGLibA_33256	OCM	1977
HGLibA_12096	CYP27B1	1161
HGLibA_40470	RBL2	366
HGLibA_45904	SNAPIN	931
HGLibA_41091	RGS3	313
HGLibA_07942	CCER1	430
HGLibA_14350	EBF1	236
HGLibA_38111	PPP1R3E	587
HGLibA_31903	NHLRC3	942
HGLibA_55487	ZNF141	484
HGLibA_44008	SHC4	549
HGLibA_63463	hsa-mir-6821	261
HGLibA_50220	TMEM215	344
HGLibA_64518	NonTargetingControlGuideForHuman_0135	977
HGLibA_58318	hsa-mir-2278	708
HGLibA_60409	hsa-mir-4498	349
HGLibA_11802	CUX1	1077
HGLibA_04316	BCL2L14	538
HGLibA_05918	C1QBP	609
HGLibA_19812	GPKOW	386
HGLibA_22055	HPS5	459
HGLibA_22035	HPGDS	334
HGLibA_24660	KIAA0895L	354
HGLibA_52468	TYRO3	580
HGLibA_21279	HIATL1	568
HGLibA_13093	DHCR7	252
HGLibA_21419	HIST1H2BD	599
HGLibA_38084	PPP1R27	339
